figure,panel,claim,field,metric,value,n_models,source_file,source_path
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Mgmt,acc@cov10,100.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__management][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Mgmt,acc@cov15,88.89,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__management][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Mgmt,acc@cov20,75.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__management][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Mgmt,acc@cov25,73.33,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__management][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Mgmt,acc@cov33,71.79,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__management][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Mgmt,acc@cov50,70.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__management][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Mgmt,acc@cov100,58.33,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__management][100].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Psych,gpt55_chat_acc@cov10,45.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=psychology_multidisciplinary; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Psych,gpt55_chat_acc@cov15,40.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=psychology_multidisciplinary; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Psych,gpt55_chat_acc@cov20,37.5,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=psychology_multidisciplinary; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Psych,gpt55_chat_acc@cov25,34.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=psychology_multidisciplinary; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Psych,gpt55_chat_acc@cov33,28.79,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=psychology_multidisciplinary; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Psych,gpt55_chat_acc@cov50,30.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=psychology_multidisciplinary; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Psych,gpt55_chat_acc@cov100,31.5,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=psychology_multidisciplinary; coverage=100
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Sociol,gpt55_chat_acc@cov10,15.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=sociology; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Sociol,gpt55_chat_acc@cov15,13.33,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=sociology; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Sociol,gpt55_chat_acc@cov20,25.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=sociology; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Sociol,gpt55_chat_acc@cov25,28.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=sociology; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Sociol,gpt55_chat_acc@cov33,28.79,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=sociology; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Sociol,gpt55_chat_acc@cov50,28.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=sociology; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Sociol,gpt55_chat_acc@cov100,32.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=sociology; coverage=100
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Econ,gpt55_chat_acc@cov10,45.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=economics; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Econ,gpt55_chat_acc@cov15,30.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=economics; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Econ,gpt55_chat_acc@cov20,32.5,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=economics; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Econ,gpt55_chat_acc@cov25,30.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=economics; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Econ,gpt55_chat_acc@cov33,31.82,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=economics; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Econ,gpt55_chat_acc@cov50,36.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=economics; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Econ,gpt55_chat_acc@cov100,38.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=economics; coverage=100
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PubAd,gpt55_chat_acc@cov10,45.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=public_administration; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PubAd,gpt55_chat_acc@cov15,36.67,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=public_administration; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PubAd,gpt55_chat_acc@cov20,32.5,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=public_administration; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PubAd,gpt55_chat_acc@cov25,34.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=public_administration; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PubAd,gpt55_chat_acc@cov33,27.27,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=public_administration; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PubAd,gpt55_chat_acc@cov50,29.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=public_administration; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PubAd,gpt55_chat_acc@cov100,28.5,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=public_administration; coverage=100
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Comm,gpt55_chat_acc@cov10,20.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=communication; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Comm,gpt55_chat_acc@cov15,20.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=communication; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Comm,gpt55_chat_acc@cov20,27.5,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=communication; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Comm,gpt55_chat_acc@cov25,26.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=communication; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Comm,gpt55_chat_acc@cov33,27.27,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=communication; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Comm,gpt55_chat_acc@cov50,25.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=communication; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Comm,gpt55_chat_acc@cov100,30.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=communication; coverage=100
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),BusFin,gpt55_chat_acc@cov10,25.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=business_finance; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),BusFin,gpt55_chat_acc@cov15,30.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=business_finance; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),BusFin,gpt55_chat_acc@cov20,32.5,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=business_finance; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),BusFin,gpt55_chat_acc@cov25,30.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=business_finance; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),BusFin,gpt55_chat_acc@cov33,28.79,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=business_finance; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),BusFin,gpt55_chat_acc@cov50,31.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=business_finance; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),BusFin,gpt55_chat_acc@cov100,33.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=business_finance; coverage=100
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PolSci,gpt55_chat_acc@cov10,50.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=political_science; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PolSci,gpt55_chat_acc@cov15,36.67,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=political_science; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PolSci,gpt55_chat_acc@cov20,35.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=political_science; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PolSci,gpt55_chat_acc@cov25,34.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=political_science; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PolSci,gpt55_chat_acc@cov33,31.82,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=political_science; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PolSci,gpt55_chat_acc@cov50,28.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=political_science; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),PolSci,gpt55_chat_acc@cov100,32.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=political_science; coverage=100
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Mgmt,gpt55_chat_acc@cov10,25.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=management; coverage=10
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Mgmt,gpt55_chat_acc@cov15,22.22,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=management; coverage=15
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Mgmt,gpt55_chat_acc@cov20,20.83,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=management; coverage=20
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Mgmt,gpt55_chat_acc@cov25,20.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=management; coverage=25
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Mgmt,gpt55_chat_acc@cov33,25.64,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=management; coverage=33
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Mgmt,gpt55_chat_acc@cov50,25.0,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=management; coverage=50
Fig.4,B,Selective-prediction accuracy at coverage K (GPT-5.5 chat/log-probability comparator),Mgmt,gpt55_chat_acc@cov100,34.17,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,field=management; coverage=100
Fig.4,B,GPT-5.5 chat/log-probability min-mean-max band across fields,all,gpt55_chat_band@cov10,15.00|33.75|50.00,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,derived from 8 field-specific curves
Fig.4,B,GPT-5.5 chat/log-probability min-mean-max band across fields,all,gpt55_chat_band@cov15,13.33|28.61|40.00,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,derived from 8 field-specific curves
Fig.4,B,GPT-5.5 chat/log-probability min-mean-max band across fields,all,gpt55_chat_band@cov20,20.83|30.42|37.50,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,derived from 8 field-specific curves
Fig.4,B,GPT-5.5 chat/log-probability min-mean-max band across fields,all,gpt55_chat_band@cov25,20.00|29.50|34.00,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,derived from 8 field-specific curves
Fig.4,B,GPT-5.5 chat/log-probability min-mean-max band across fields,all,gpt55_chat_band@cov33,25.64|28.77|31.82,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,derived from 8 field-specific curves
Fig.4,B,GPT-5.5 chat/log-probability min-mean-max band across fields,all,gpt55_chat_band@cov50,25.00|29.00|36.00,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,derived from 8 field-specific curves
Fig.4,B,GPT-5.5 chat/log-probability min-mean-max band across fields,all,gpt55_chat_band@cov100,28.50|32.40|38.00,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,derived from 8 field-specific curves
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,Psych,gpt55_chat_ece,0.6409,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=psychology_multidisciplinary; bins over [0.25, 1.00]"
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,Sociol,gpt55_chat_ece,0.6258,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=sociology; bins over [0.25, 1.00]"
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,Econ,gpt55_chat_ece,0.5841,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=economics; bins over [0.25, 1.00]"
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,PubAd,gpt55_chat_ece,0.6391,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=public_administration; bins over [0.25, 1.00]"
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,Comm,gpt55_chat_ece,0.66,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=communication; bins over [0.25, 1.00]"
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,BusFin,gpt55_chat_ece,0.6227,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=business_finance; bins over [0.25, 1.00]"
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,PolSci,gpt55_chat_ece,0.6344,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=political_science; bins over [0.25, 1.00]"
Fig.4,B,Expected calibration error for GPT-5.5 chat/log-probability comparator,Mgmt,gpt55_chat_ece,0.602,1,data/cross_field_standardized/predictions/gpt55_chat_logp_all_fields.jsonl,"field=management; bins over [0.25, 1.00]"
Fig.4,C,Spearman correlation of mean confidence gap vs prediction accuracy across 8 fields,all,spearman_rho,0.3333,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: scipy.stats.spearmanr on field-mean (gap, acc)"
Fig.4,C,Spearman p-value (two-sided),all,spearman_p,0.4198,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: scipy.stats.spearmanr on field-mean (gap, acc)"
Fig.4,C,Field-mean confidence gap (x),Psych,conf_gap_mean,0.2371,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__psychology_multidisciplinary].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),Psych,accuracy_mean,81.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__psychology_multidisciplinary].accuracy"
Fig.4,C,Field-mean confidence gap (x),Sociol,conf_gap_mean,0.1765,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__sociology].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),Sociol,accuracy_mean,56.83,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__sociology].accuracy"
Fig.4,C,Field-mean confidence gap (x),Econ,conf_gap_mean,0.1643,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__economics].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),Econ,accuracy_mean,67.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__economics].accuracy"
Fig.4,C,Field-mean confidence gap (x),PubAd,conf_gap_mean,0.1305,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__public_administration].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),PubAd,accuracy_mean,53.17,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__public_administration].accuracy"
Fig.4,C,Field-mean confidence gap (x),Comm,conf_gap_mean,0.1149,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__communication].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),Comm,accuracy_mean,63.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__communication].accuracy"
Fig.4,C,Field-mean confidence gap (x),BusFin,conf_gap_mean,0.1159,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__business_finance].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),BusFin,accuracy_mean,54.17,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__business_finance].accuracy"
Fig.4,C,Field-mean confidence gap (x),PolSci,conf_gap_mean,0.0826,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__political_science].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),PolSci,accuracy_mean,54.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__political_science].accuracy"
Fig.4,C,Field-mean confidence gap (x),Mgmt,conf_gap_mean,0.0674,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__management].conf_gap"
Fig.4,C,Field-mean prediction accuracy (y),Mgmt,accuracy_mean,58.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__management].accuracy"
Fig.4,D,"Field accuracy at full coverage (3-SFT mean, 200 articles)",Psych,accuracy_full,81.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__psychology_multidisciplinary].accuracy"
Fig.4,D,"Field accuracy at top-25% confidence (3-SFT mean, 50 articles)",Psych,accuracy_top25,98.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of selective_prediction[<m>__psychology_multidisciplinary][25].accuracy"
Fig.4,D,Lift at top-25% confidence (pp = percentage points),Psych,lift_top25_pp,17.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,derived: accuracy_top25 − accuracy_full
Fig.4,D,"Field accuracy at full coverage (3-SFT mean, 200 articles)",Sociol,accuracy_full,56.83,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__sociology].accuracy"
Fig.4,D,"Field accuracy at top-25% confidence (3-SFT mean, 50 articles)",Sociol,accuracy_top25,92.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of selective_prediction[<m>__sociology][25].accuracy"
Fig.4,D,Lift at top-25% confidence (pp = percentage points),Sociol,lift_top25_pp,35.17,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,derived: accuracy_top25 − accuracy_full
Fig.4,D,"Field accuracy at full coverage (3-SFT mean, 200 articles)",Econ,accuracy_full,67.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__economics].accuracy"
Fig.4,D,"Field accuracy at top-25% confidence (3-SFT mean, 50 articles)",Econ,accuracy_top25,96.67,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of selective_prediction[<m>__economics][25].accuracy"
Fig.4,D,Lift at top-25% confidence (pp = percentage points),Econ,lift_top25_pp,29.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,derived: accuracy_top25 − accuracy_full
Fig.4,D,"Field accuracy at full coverage (3-SFT mean, 200 articles)",PubAd,accuracy_full,53.17,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__public_administration].accuracy"
Fig.4,D,"Field accuracy at top-25% confidence (3-SFT mean, 50 articles)",PubAd,accuracy_top25,77.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of selective_prediction[<m>__public_administration][25].accuracy"
Fig.4,D,Lift at top-25% confidence (pp = percentage points),PubAd,lift_top25_pp,24.17,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,derived: accuracy_top25 − accuracy_full
Fig.4,D,"Field accuracy at full coverage (3-SFT mean, 200 articles)",Comm,accuracy_full,63.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__communication].accuracy"
Fig.4,D,"Field accuracy at top-25% confidence (3-SFT mean, 50 articles)",Comm,accuracy_top25,88.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of selective_prediction[<m>__communication][25].accuracy"
Fig.4,D,Lift at top-25% confidence (pp = percentage points),Comm,lift_top25_pp,25.0,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,derived: accuracy_top25 − accuracy_full
Fig.4,D,"Field accuracy at full coverage (3-SFT mean, 200 articles)",BusFin,accuracy_full,54.17,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__business_finance].accuracy"
Fig.4,D,"Field accuracy at top-25% confidence (3-SFT mean, 50 articles)",BusFin,accuracy_top25,81.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of selective_prediction[<m>__business_finance][25].accuracy"
Fig.4,D,Lift at top-25% confidence (pp = percentage points),BusFin,lift_top25_pp,27.17,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,derived: accuracy_top25 − accuracy_full
Fig.4,D,"Field accuracy at full coverage (3-SFT mean, 200 articles)",PolSci,accuracy_full,54.33,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"mean over ['qwen30b_sft', 'qwen4b_sft', 'gpt41nano_sft'] of calibration[<m>__political_science].accuracy"
